id	name	code1	з1	з2	з3	з4	з5	дост	temp1	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	4310	4326	43114	43118	43261	4350	6450	prim	prim2	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc	Comment	desc1
333	Вал промежуточный РК (раздаточной коробки)	65111-1802085-10	4 573		2 400		1-1	-	4 460	5 260	завод	2 760	аналог Наб.Челны					65111-1802084-10	4310-1802085	43114-1802085	4310-1802084	Коробка раздаточная	Валы	val-promezhutochnyj-rk-razdatochnoj-korobki-65111-1802085-10	/kamaz-4310/catalog/zapchasti/	333							1	1		КамАЗ-43261 (Евро-1, 2), КамАЗ-43502 (Евро 4), КамАЗ-65111 (Евро 4)		/kamaz-4310/img/zap/	65111-1802085-10_2.jpg											0.06	0.06	0.36	6.17			
335	Вал промежуточный РК (раздаточной коробки) в сборе	43114-1802084	29 500		20 350		0-1	-	30 980	33 930	завод	23 400	аналог					43114-1802085	4310-1802084	65111-1802084-10	4310-1802085	Коробка раздаточная	Валы	val-promezhutochnyj-rk-razdatochnoj-korobki-v-sbore-43114-1802084	/kamaz-4310/catalog/zapchasti/	335				1	1	1	1			КамАЗ-43114, КамАЗ-43118, КамАЗ-4326, КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2)		/kamaz-4310/img/zap/	43114-1802084_2.jpg											0.071	0.071	0.294	21.5			
337	Вал промежуточный РК (раздаточной коробки) в сборе	4310-1802084			20 045		-1	-	-	29 600	завод, с хранения, производство прекращено,	23 050	аналог	33 930	замена на <a href='/kamaz-4310/catalog/zapchasti/val-promezhutochnyj-rk-razdatochnoj-korobki-v-sbore-43114-1802084.html'>43114-1802084, перейти</a>			4310-1802085	43114-1802084	65111-1802084-10	65111-1802085-10	Коробка раздаточная	Валы	val-promezhutochnyj-rk-razdatochnoj-korobki-v-sbore-4310-1802084	/kamaz-4310/catalog/zapchasti/	337			1	1						КамАЗ-4310, КамАЗ-43101		/kamaz-4310/img/zap/	4310-1802084_2.jpg											0.2	0.2	0.29	25.0			
339	Вал промежуточный РК (раздаточной коробки) в сборе	65111-1802084-10	33 350	36 557	27 500		1-1	1-1	32 750	43 500	завод	31 630	аналог Наб.Челны					65111-1802085-10	43114-1802084	4310-1802084	65111-1802152-10	Коробка раздаточная	Валы	val-promezhutochnyj-rk-razdatochnoj-korobki-v-sbore-65111-1802084-10	/kamaz-4310/catalog/zapchasti/	339							1			КамАЗ-43261 (Евро-1, 2) 		/kamaz-4310/img/zap/	65111-1802084-10_2.jpg											0.2	0.2	0.331	23.0	в сборе с шестерн.1802088, и 1802090, +каретка 1803018+2 подш. ролик.12611М		
341	Вилка блокировки дифференциала	4310-1802149	1 139	1 140			1-	1-1	1 110	1 310	завод	0	аналог Наб.Челны					4310-1803020	65111-1802149			Мост передний	Вилки	vilka-blokirovki-differentsiala-4310-1802149	/kamaz-4310/catalog/zapchasti/	341			1	1	1	1	1			КамАЗ-4310, КамАЗ-4326, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2)		/kamaz-4310/img/zap/	4310-1802149_2.jpg					Посадочный размер	18 мм.					0,035	0.158	0.104	0.62			
343	Вилка блокировки дифференциала раздаточной коробки	65111-1802149	2 909	2 965	1 430		1-1	1-	2 610	3 340	завод	1 640	аналог Наб.Челны					4310-1802149	4310-1803020			Коробка раздаточная	Вилки	vilka-blokirovki-differentsiala-razdatochnoj-korobki-65111-1802149	/kamaz-4310/catalog/zapchasti/	343			1	1	1	1	1	1		КамАЗ-4310, КамАЗ-4326, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2), КамАЗ-43501		/kamaz-4310/img/zap/	65111-1802149_2.jpg					Посадочный размер	18 мм.					0.035	0.162	0.11	0.6			
345	Вилка включения передачи РК (раздаточной коробки)	4310-1803020	1 915	1 953	1 573		0-1	1-1	1 870	2 200	завод	1 810	аналог Наб.Челны					4310-1803010-10	4310-1804010	4310-1802149	65111-1802149	Коробка раздаточная	Вилки	vilka-vklyucheniya-peredachi-rk-razdatochnoj-korobki-4310-1803020	/kamaz-4310/catalog/zapchasti/	345			1	1	1	1	1	1	1	КамАЗ-4310, КамАЗ-4326, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-43501 (4х4), КамАЗ-53501 (6х6), КамАЗ-53504 (6х6), КамАЗ-6450 8х8, КамАЗ-63501 8х8, КамАЗ-4350 (4х4), КамАЗ-5350 (6х6), КамАЗ-6350 (8х8), КамАЗ-43261 (Евро-1, 2).		/kamaz-4310/img/zap/	4310-1803020_2.jpg											0.17	0.04	0.2	0.8	Длина 157 мм Высота 173 мм		
347	Вкладыш кулака шарнира	4310-2304066	2 620	1 793	902	1 650	0-0	1-	2 150	3 250	завод, нет в наличии	8 550	комплект вкладыши + диск, нет в наличии					4310-2304067	4310-2304064	4310-2304062	53228-2304065	Мост передний	Вилки	vkladysh-kulaka-sharnira-4310-2304066	/kamaz-4310/catalog/zapchasti/	347			1	1	1	1	1	1		КамАЗ-4310, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-4326, КамАЗ-43261 (Евро-1, 2), КамАЗ-4350 (4х4), КамАЗ-43501 (4х4), КамАЗ-53228, 65111	для переднего ведущего моста	/kamaz-4310/img/zap/	4310-2304066_2.jpg	4310-2304066_3.jpg										0.084	0.057	0.122	1.87			
349	Головка подвода воздуха в сборе	4310-3124010	2 520				1-	-	440	2 900	завод		аналог КМД	0	с хранения, по запросу							Подвод воздуха к шинам		golovka-podvoda-vozduha-v-sbore-4310-3124010	/kamaz-4310/catalog/zapchasti/	349	Р620-3124000		1	1	1	1	1	1		КамАЗ-4310, КамАЗ-4326, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-43261 (Евро-1, 2)	Применяется для автомобилей КамАЗ-4310, КамАЗ-4326, КамАЗ-43101, КамАЗ-4310, КамАЗ-43114, КамАЗ-43118	/kamaz-4310/img/zap/	4310-3124010_2.jpg											0.1	0.04	0.1	0.88	Данная головка устанавливается внутри колесных цапф полуоси. Она состоит из двух эластичных манжет с нажимными пружинами, которые обеспечивают герметичность подвижного соединения.<br />Артикул - 4310-3124010<br />Применяется в ходовой части, колесах и ступице автомобиля.		
357	Диск нажимной (корзина) в сборе	14-1601090-10	10 459	10 664			1-	1-1	10 210	12 030	завод		аналог Наб.Челны					142-1601090	#REF!	#REF!		Сцепление		disk-nazhimnoj-korzina-v-sbore-14.1601090-10	/kamaz-4310/catalog/zapchasti/	357			1							КамАЗ-4310, КамАЗ-5320, КамАЗ-53212, КамАЗ-5410, КамАЗ-54112, КамАЗ-5511, КамАЗ-55102, ЗИЛ 133ГЯ, УРАЛ-4320, УРАЛ-43202, УРАЛ-5557, КамАЗ-43101, УРАЛ-4420.		/kamaz-4310/img/zap/	14.1601090-10_2.jpg											0.11	0.39	0.39	25.62	Штампованный на ПРЗ кожух, кованные рычаги. Одинарные нажимные пружины.		
