id	name	code1	зак1	зак2	мид	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	desc	Comment	prim2	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	prim	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc1
101	Вкладыш рессоры ЧМЗАП (М16х1,5; М16х2,0)	99858-2918024			520	580	аналог, Наб.Челны										9327-2912418 (419)	9908-2912015	8350-2410024		борта		99858-2918024-vkladysh-ressory-chmzap-m16h1-5-m16h2-0	/kuzov/catalog/	101				/kuzov/img/	99858-2918024.jpg															
103	Подкладка стремянок рессоры (правая, левая)	9327-2912418 (419)				1 200	аналог, Наб.Челны														борта		9327-2912418-419-podkladka-stremyanok-ressory-pravaya-levaya	/kuzov/catalog/	103				/kuzov/img/	9327-2912418 (419).jpg															
105	Подкладка стремянок СЗАП (широкая рессора)	8543-2912418			1540	1 720	аналог, Наб.Челны							под широкую рессору МАЗ							борта		8543-2912418-podkladka-stremyanok-szap-shirokaya-ressora	/kuzov/catalog/	105				/kuzov/img/	8543-2912418.jpg															
107	Накладка (подкладка) стремянки под узкую рессору ЗИЛ (с площадкой под домкрат)	8350-2912418				1 050	аналог, Наб.Челны							под узкую реессору							борта		8350-2912418-nakladka-podkladka-stremyanki-pod-uzkuyu-ressoru-zil-s-ploschadkoj-pod-domkrat	/kuzov/catalog/	107				/kuzov/img/	8350-2912418.jpg															
109	Ушко рессоры СЗАП с чугунной втулкой 210/40	9908-2912015			1640	1 840	аналог, Наб.Челны														борта		9908-2912015-ushko-ressory-szap-s-chugunnoj-vtulkoj-210-40	/kuzov/catalog/	109				/kuzov/img/	9908-2912015.jpg														4.3	
111	Втулка ушка рессоры СЗАП (металлопорошковая)	9908-2912028				325	аналог, Наб.Челны														борта		9908-2912028-vtulka-ushka-ressory-szap-metalloporoshkovaya	/kuzov/catalog/	111				/kuzov/img/	9908-2912028.jpg															
113	Кронштейн дышла задний	8350-2707086				1 400	аналог, Наб.Челны														борта		8350-2707086-kronshtejn-dyshla-zadnij	/kuzov/catalog/	113				/kuzov/img/	8350-2707086.jpg															
115	Болт поворотного круга М18х45 ключ 27 в сборе (гайка+гровер)	8350-2704020			66	70	аналог, Наб.Челны							<p>Болт специальный поворотного круга с гайкой и шайбой в сборе.</p><p>Артикул - 8350-2704020</p><p>Применяется при креплении седельного устройства КАМАЗ, НЕФАЗ.</p><ul><li>Ширина, м - 0.03</li><li>Высота, м - 0.03</li><li>Длина, м - 0.06</li></ul>, Акционная цена - 55р от 500 штук / NEW Kamaz / НовыеГайки							борта		8350-2704020-bolt-povorotnogo-kruga-m18h45-klyuch-27-v-sbore-gajka-grover	/kuzov/catalog/	115			НефАЗ / НефАЗ-8527 (1991), СЗАП / СЗАП-9327 (2009), СЗАП / СЗАП-9328 (2009), СЗАП / СЗАП-93271 (2009), СЗАП / СЗАП-9327 (2005) (2005), СЗАП / СЗАП-9328 (2005) (2005), СЗАП / СЗАП-93271 (2005) (2005), СЗАП / СЗАП-8305 (2010), СЗАП / СЗАП-8357 (2010), СЗАП / СЗАП-8543 (2010), СЗАП / СЗАП-9915 (2010)	/kuzov/img/	8350-2704020.jpg											0.055	0.03	0.03	0.42	
117	Болт ушка рессоры 9908 в сборе с гайкой	9908-болт				170	аналог, Наб.Челны														борта		9908-bolt-bolt-ushka-ressory-9908-v-sbore-s-gajkoj	/kuzov/catalog/	117				/kuzov/img/	9908-bolt.jpg															
119	Втулка петли дышла Евро	8602-2707052				400	аналог, Наб.Челны														борта		8602-2707052-vtulka-petli-dyshla-evro	/kuzov/catalog/	119				/kuzov/img/	8602-2707052.jpg														0.445	
121	Подушка рессоры задней оси	8350-2410024				580	аналог, Наб.Челны														борта		8350-2410024-podushka-ressory-zadnej-osi	/kuzov/catalog/	121				/kuzov/img/	8350-2410024.jpg															
123	Рычаг стабилизатора в сборе с крышкой	941-2916022-01				2 700	аналог, Наб.Челны														борта		941-2916022-01-rychag-stabilizatora-v-sbore-s-kryshkoj	/kuzov/catalog/	123				/kuzov/img/	941-2916022-01.jpg															
125	Втулка пальца сухаря СЗАП	8543-2912546				60	аналог, Наб.Челны														борта		8543-2912546-vtulka-palca-suharya-szap	/kuzov/catalog/	125				/kuzov/img/	8543-2912546.jpg															
127	Вкладыш сухаря рессоры прицепа СЗАП	8543-2912545				65	аналог, Наб.Челны														борта		8543-2912545-vkladysh-suharya-ressory-pricepa-szap	/kuzov/catalog/	127				/kuzov/img/	8543-2912545.jpg															
129	Втулка стяжной оси сухаря СЗАП	8543-2902487				30	аналог, Наб.Челны														борта		8543-2902487-vtulka-styazhnoj-osi-suharya-szap	/kuzov/catalog/	129				/kuzov/img/	8543-2902487.jpg															
131	Палец сухаря прицепа СЗАП	8543-2912547				35	аналог, Наб.Челны														борта		8543-2912547-palec-suharya-pricepa-szap	/kuzov/catalog/	131				/kuzov/img/	8543-2912547.jpg															
133	Опора разжимного кулака	9908-3502128-10			430	480	аналог, Наб.Челны														борта		9908-3502128-10-opora-razzhimnogo-kulaka	/kuzov/catalog/	133				/kuzov/img/	9908-3502128-10.jpg														1.35	
135	Опора разжимного кулака НЕФАЗ	96741-3502129				550	аналог, Наб.Челны														борта		96741-3502129-opora-razzhimnogo-kulaka-nefaz	/kuzov/catalog/	135				/kuzov/img/	96741-3502129.jpg															
137	Опора опрокидывания платформы/кузова	8527-8600084				710	аналог, Наб.Челны														борта		8527-8600084-opora-oprokidyvaniya-platformy-kuzova	/kuzov/catalog/	137				/kuzov/img/	8527-8600084.jpg															
139	Опора платформы надрамника НЕФАЗ	55102-8521242			2230	2 500	аналог, Наб.Челны														борта		55102-8521242-opora-platformy-nadramnika-nefaz	/kuzov/catalog/	139				/kuzov/img/	55102-8521242.jpg															
141	Палец крепления основания платформы	8527-8521038			360	400	аналог, Наб.Челны							Вставляется в опору 8600084							борта		8527-8521038-palec-krepleniya-osnovaniya-platformy	/kuzov/catalog/	141				/kuzov/img/	8527-8521038.jpg														1.4	
143	Палец опоры платформы	55102-8521260				120	аналог, Наб.Челны														борта		55102-8521260-palec-opory-platformy	/kuzov/catalog/	143				/kuzov/img/	55102-8521260.jpg														0.455	
