url	dir	city	term	cost_dvig	point1	point2	point3	dist_chelny	dist_krasnodar	dist_moscow	latitude	longitude	text1	text2	text3	text4	img1	img2
smolensk	dostavka/smolensk	Смоленск	6-7		Смоленская область, г. Смоленск, ул. Старо-Комендантская, д. 2			1445	1555	395	54,798031	32,05599						
sochi	dostavka/sochi	Сочи	9-10		Краснодарский край, г. Сочи, ул.Гастелло, 23а, литер А			2203	292	1622	43,45457	39,917951						
staryj-oskol	dostavka/staryj-oskol	Старый Оскол	7-8		Белгородская область, г. Старый Оскол, ул. Заводская, 1а			1388	956	635	51,310136	37,871643						
stavropol	dostavka/stavropol	Ставрополь	3-6	6450	Ставропольский край, г. Ставрополь, ул. 2-я Промышленная, 33			1750	299	1411	45,059938	41,904143						
sterlitamak	dostavka/sterlitamak	Стерлитамак	3-6	7469	Республика Башкортостан, г. Стерлитамак, ул. Элеваторная, 19			421	2106	1479	53,64708	55,953695						
surgut	dostavka/surgut	Сургут	6-9	11975	Ханты-Мансийский Автономный округ - Югра АО, г. Сургут, ул. Аграрная, д. 3			1921	3606	2895	61,265524	73,471221						
syktyvkar	dostavka/syktyvkar	Сыктывкар	8-9		Республика Коми, г. Сыктывкар, ул. Лесопарковая, 21/3			908	2657	1313	61,639255	50,792321						
taganrog	dostavka/taganrog	Таганрог	8-9		Ростовская область, г. Таганрог, Поляковское шоссе, 22			1721	353	1141	47,209188	38,858577						
tambov	dostavka/tambov	Тамбов	3-5	4488	Тамбовская область, г. Тамбов, ул. Кавалерийская, 13А			1042	1025	460	52,728144	41,426247						
tobolsk	dostavka/tobolsk	Тобольск	5-7	9255				1383	3067	2364								
tolyatti	dostavka/tolyatti	Тольятти	3-4	5600	Самарская область, г. Тольятти, ул. Базовая, 1,стр. 20			425	1520	986	53,525601	49,469486						
